train_month,test_month,f1,precision,recall
2023-02,2023-03,0.8611898016997167,0.9934640522875817,0.76
2023-03,2023-04,0.9420849420849421,0.9838709677419355,0.9037037037037037
2023-04,2023-05,0.9172932330827067,0.9682539682539683,0.8714285714285714
2023-05,2023-06,0.8780487804878049,1.0,0.782608695652174
2023-06,2023-07,0.8461538461538461,0.9428571428571428,0.7674418604651163
2023-07,2023-08,0.64,0.9411764705882353,0.48484848484848486
2023-08,2023-09,0.7246376811594203,1.0,0.5681818181818182
2023-09,2023-10,0.8771929824561403,0.9259259259259259,0.8333333333333334
2023-10,2023-11,0.84375,1.0,0.7297297297297297
2023-11,2023-12,0.9743589743589743,1.0,0.95
2023-12,2024-01,0.9565217391304348,1.0,0.9166666666666666
2024-01,2024-02,0.7529411764705882,0.9696969696969697,0.6153846153846154
2024-02,2024-03,0.9774436090225563,0.9798994974874372,0.975
2024-03,2024-04,0.9511568123393316,0.9788359788359788,0.925
2024-04,2024-05,0.8843537414965986,0.9701492537313433,0.8125
2024-05,2024-06,0.9720101781170484,0.9896373056994818,0.955
2024-06,2024-07,0.8979591836734694,1.0,0.8148148148148148
2024-07,2024-08,0.9790209790209791,0.958904109589041,1.0
2024-08,2024-09,0.8732394366197183,0.9393939393939394,0.8157894736842105
2024-09,2024-10,0.8947368421052632,0.918918918918919,0.8717948717948718
2024-10,2024-11,0.9285714285714286,0.9285714285714286,0.9285714285714286
2024-11,2024-12,0.4,1.0,0.25
